precinctCode,precinct,election,percentVoting
4,AWENDAW,vhgen10,46.6
8,CHRIST CHURCH,vhgen10,51.83
10,ISLE OF PALMS 1A,vhgen10,56.43
11,ISLE OF PALMS 1B,vhgen10,56.27
12,ISLE OF PALMS 1C,vhgen10,66.39
32,SULLIVANS ISLAND,vhgen10,60.38
100,MCCLELLANVILLE,vhgen10,52.12
102,DEER PARK 1A,vhgen10,33.62
103,DEER PARK 1B,vhgen10,33.77
104,DEER PARK 2A,vhgen10,42.58
105,DEER PARK 2B,vhgen10,31.38
106,DEER PARK 2C,vhgen10,52.62
107,DEER PARK 3,vhgen10,45.88
110,LINCOLNVILLE,vhgen10,47.1
132,LADSON,vhgen10,33.11
173,EDISTO ISLAND,vhgen10,59.34
174,WADMALAW ISLAND 1,vhgen10,56.91
175,WADMALAW ISLAND 2,vhgen10,62.04
180,KIAWAH ISLAND,vhgen10,67.77
181,TOWN OF SEABROOK,vhgen10,69.33
184,FOLLY BEACH 1,vhgen10,46.21
185,FOLLY BEACH 2,vhgen10,52.65
201,CHARLESTON 1,vhgen10,60.61
202,CHARLESTON 2,vhgen10,57.33
203,CHARLESTON 3,vhgen10,58.52
204,CHARLESTON 4,vhgen10,43.05
205,CHARLESTON 5,vhgen10,46.21
206,CHARLESTON 6,vhgen10,39.76
207,CHARLESTON 7,vhgen10,31.75
208,CHARLESTON 8,vhgen10,37.62
209,CHARLESTON 9,vhgen10,37.71
210,CHARLESTON 10,vhgen10,24.79
211,CHARLESTON 11,vhgen10,28.39
212,CHARLESTON 12,vhgen10,40.63
213,CHARLESTON 13,vhgen10,41.43
214,CHARLESTON 14,vhgen10,31.46
215,CHARLESTON 15,vhgen10,25.9
216,CHARLESTON 16,vhgen10,46.36
217,CHARLESTON 17,vhgen10,50.13
218,CHARLESTON 18,vhgen10,44.71
219,CHARLESTON 19,vhgen10,48.85
220,CHARLESTON 20,vhgen10,53.27
221,CHARLESTON 21,vhgen10,51.35
301,MT PLEASANT 1,vhgen10,60.22
302,MT PLEASANT 2,vhgen10,44.43
303,MT PLEASANT 3,vhgen10,54.24
304,MT PLEASANT 4,vhgen10,51.13
305,MT PLEASANT 5,vhgen10,57.95
306,MT PLEASANT 6,vhgen10,47.02
307,MT PLEASANT 7,vhgen10,50.46
308,MT PLEASANT 8,vhgen10,55.34
309,MT PLEASANT 9,vhgen10,55.31
310,MT PLEASANT 10,vhgen10,55.71
